Amazon_Product_Title,Sku_id,Amazon_URL,Flipkart_Product_Title,Flipkart_URL,Myntra_Product_Title,Myntra_URL,Choose
Veirdo Printed Zip Up Cotton Shacket/Jacket For Men & Boys,VSK01WHPT004_L,https://www.amazon.in/dp/B0BPMFKFCN,Veirdo Full Sleeve Floral Print Men Jacket,https://www.flipkart.com/x/p/k?pid=JCKGKRNSTXZD5CQW,VEIRDO Men Floral Lightweight Bomber Jacket,https://www.myntra.com/21176566,1
JUNEBERRY Sweatshirt for Girls (m) Black,W_04_GL_COW_MKY_M,https://www.amazon.in/dp/B09RFCQJLR,JUNEBERRY Full Sleeve Printed Women Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGAGT3YF4DPZJB,JUNEBERRY Women White  Black Mickey Mouse Printed Fleece Sweatshirt,https://www.myntra.com/17034488,1
Veirdo Cotton Fleece Oversize Loose Fit Hooded Sweatshirt Full Sleeves Cool & Stylish Graphic Astraunaut Bad Signal Printed Jumper Sweatshirt Winter Wear for Men & Boys Mustard,W_05_BDSIGNAL_MY_3XL,https://www.amazon.in/dp/B0BNJ33WZH,Veirdo Full Sleeve Printed Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGKRYFZTGWCGRG,VEIRDO Men Fleece Printed Hooded Sweatshirt,https://www.myntra.com/21096312,1
Veirdo Men's Fleece Hooded Neck Sweatshirt (W_05_BROWN_SUN_3XL_Brown Print_3XL),W_05_BROWN_SUN_3XL,https://www.amazon.in/dp/B0BLKTNYHR,Veirdo Full Sleeve Printed Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGJPSFTJFHXXG7,VEIRDO Men Brown Hooded Sweatshirt,https://www.myntra.com/20691456,1
Veirdo Women's Fleece Hooded Neck Sweatshirt (W_05_DIMENSION_N_3XL_Lazuli Blue_3XL),W_05_DIMENSION_N_3XL,https://www.amazon.in/dp/B0BNHZ2LTF,Veirdo Full Sleeve Printed Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGKGT54GHYT8GR,VEIRDO Men Fleece Printed Hooded Sweatshirt,https://www.myntra.com/21096330,1
Veirdo Cotton Fleece Oversize Loose Fit Hooded Sweatshirt Full Sleeves Cool & Stylish Graphic Vision Printed Jumper Sweatshirt Winter Wear for Men & Boys Olive Green,W_05_HLDVSION_O_3XL,https://www.amazon.in/dp/B0BNJ1PH5X,Veirdo Full Sleeve Printed Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGKGT5VZG2HAAH,VEIRDO Men Fleece Printed Hooded Sweatshirt,https://www.myntra.com/21096328,1
"Veirdo Hoodie for Men, Winter Hoodies for Men, Full Sleeves Mens Hoodies, Cotton Fleece Sweat Shirt for Men, Neck Hooded Full Sleeve Sweatshirt, Winter Wear for Men (3XL) Purple",W_05_PURPLE_3XL,https://www.amazon.in/dp/B0BF5J3JBS,Veirdo Full Sleeve Solid Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGG4B3Y7CEFMAC,VEIRDO Men Purple Solid Hooded Sweatshirt,https://www.myntra.com/20248002,1
Veirdo Cotton Fleece Regular Fit Hooded Sweatshirt Full Sleeves Graphic Smile Purple Printed Jumper Sweatshirt for Men/Boys,W_05_PURPLE_SMILE_3XL,https://www.amazon.in/dp/B0BLCQBVB2,Veirdo Full Sleeve Printed Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGJNXUKVVYY8ZM,VEIRDO Men Purple Printed Hooded Sweatshirt,https://www.myntra.com/20691454,1
"Veirdo Hoodie for Men, Winter Hoodies for Men, Full Sleeves Mens Hoodies, Cotton Fleece Sweat Shirt for Men, Neck Hooded Full Sleeve Sweatshirt, Winter Wear for Men (3XL) Rust",W_05_RUST_3XL,https://www.amazon.in/dp/B0BF5N4K12,Veirdo Full Sleeve Solid Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGG4B3UKVVBXCJ,VEIRDO Men Rust Hooded Sweatshirt,https://www.myntra.com/20247998,1
Veirdo Cotton Fleece Regular Fit Hooded Sweatshirt Full Sleeves Graphic Mascot Printed Jumper Sweatshirt for Men/Boys Rust,W_05_RUST_VEIRDO_3XL,https://www.amazon.in/dp/B0BMQDYDQF,Veirdo Full Sleeve Printed Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGJVKCZCY2MHJZ,VEIRDO Men Rust Brown Printed Hooded Sweatshirt,https://www.myntra.com/20691450,1
Veirdo Round Neck Regular Full Sleeves Sweatshirt for Men (S) Black,W_334_CAMPUS_S,https://www.amazon.in/dp/B09R22L2Q4,Veirdo Full Sleeve Printed Men Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSGAHYBAJQN3YYD,VEIRDO Men Black Printed Sweatshirt,https://www.myntra.com/17354264,1
JUNEBERRY Full Sleeve Crop Top for Girls (X-Large) Yellow,W_GL_RUN_YLW_XL,https://www.amazon.in/dp/B09QCC8N76,JUNEBERRY Full Sleeve Printed Women Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSG9XVG6SHCRQ5Z,JUNEBERRY Women Yellow Printed Crop Sweatshirt,https://www.myntra.com/15442862,1
JUNEBERRY Cotton Blend Round Neck Half Sleeve Tie-Dye T-Shirt for Women & Girls Lilac,JB_TSH_BABE_LLC_L,https://www.amazon.in/dp/B0BSH6S8M8,JUNEBERRY Tie & Dye Women Round Neck Purple T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGE2RCMGAEYG4D,JUNEBERRY Women Purple  Blue Tie and Dye Dyed T-shirt,https://www.myntra.com/19417346,1
JUNEBERRY® Women's Cotton Drop Shoulder Tie Dye Long/Knee Length T-Shirt (3XL),OS_601_ORANGE_3XL,https://www.amazon.in/dp/B09RPSK2BJ,JUNEBERRY Women T Shirt Orange Dress,https://www.flipkart.com/x/p/k?pid=DREGAV2FVX38ZYD5,JUNEBERRY Orange Tie and Dye Dyed T-shirt Dress,https://www.myntra.com/15442896,1
Veirdo Marvel Oversized | Loose Fit | Relaxed Fit |Original Marvel Tee - Thor Love and Thunder Printed Mens Ovesize Half Sleeve Round Neck T-Shirt Black Colour for Mens/Boys,OS_MTH_3060_B_L,https://www.amazon.in/dp/B0B4PCZ3R3,Veirdo Printed Men Round Neck Black T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGFPHMGJMFPFXF,VEIRDO Men Black  black chocolate Printed Loose T-shirt,https://www.myntra.com/18780030,1
"Veirdo Mens T Shirts with Collar, Polo T Shirt, Half Sleeves Polo Tshirt, Cotton Men T Shirt Collar Neck (XXXL) White",P_AEROPLANE_404_W_3XL,https://www.amazon.in/dp/B0B51XFZVF,Veirdo Printed Men Polo Neck White T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGFH8UYCGEEXHK,VEIRDO Men White  magnolia Printed Polo Collar Applique T-shirt,https://www.myntra.com/18780012,1
JUNEBERRY® Star Wars with Helmet Printed Regular Fit Long Knee Length T-Shirt for Women/Girls (XXX-Large) Grey,P_ST223 _GRY_3XL,https://www.amazon.in/dp/B09XXMHSNV,JUNEBERRY Women T Shirt Grey Dress,https://www.flipkart.com/x/p/k?pid=DREGFSZAFDAXVTGG,JUNEBERRY White T-shirt Dress,https://www.myntra.com/18596354,1
Veirdo Men's Regular Fit Polo Neck Half Sleeve Printed T-Shirt Soft Nut Colour,P_SUPERIOR_400_SN_3XL,https://www.amazon.in/dp/B0B77KJ8ZV,Veirdo Solid Men Polo Neck Multicolor T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGGEZDX3BY5ANM,VEIRDO Men Peach-Coloured  coral cloud Polo Collar T-shirt,https://www.myntra.com/18780014,1
Veirdo Marvel Print Black Color Half Sleeve Regular Fit T-Shirt for Men Powered (3XL),TSH_MIM_BLK_3XL,https://www.amazon.in/dp/B09SB47KDR,Veirdo Printed Men Round Neck Black T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGBGBFVKHAKGGQ,VEIRDO Men Black Iron Man Printed T-shirt,https://www.myntra.com/17129944,1
JUNEBERRY Original Disney Round Neck Half Sleeve Regular Fit Cartoon Printed Peach Colour T-Shirt for Women/Girls (T_DMF2220_SN),T_DMF2220_SN_L,https://www.amazon.in/dp/B0B3TQW2KD,JUNEBERRY Casual Printed Women Brown Top,https://www.flipkart.com/x/p/k?pid=TOPGCYVHC9BNHMYA,JUNEBERRY Women Peach-Coloured  Multicoloured Goofy Printed T-shirt,https://www.myntra.com/18265800,1
Veirdo Original Disney Pure Cotton Regular Fit Round Neck Half Sleeves Mickey Yellow Printed T-Shirt for Men & Boys (T_DMF3004_YL),T_DMF3004_YL_L,https://www.amazon.in/dp/B09X2T1XYH,Veirdo Printed Men Round Neck Yellow T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGDYZFBS42MEAJ,VEIRDO Men Yellow Mickey Mouse Typography Printed Cotton T-shirt,https://www.myntra.com/18277936,1
JUNEBERRY® Original Marvel Printed Regular Fit Tee for Women/Girls (XXX-Large) Black,T_MAOP2229_BL_3XL,https://www.amazon.in/dp/B09XVJ58KL,JUNEBERRY Printed Women Round Neck Black T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGF9VAK2X88QBR,JUNEBERRY Women Black Printed Applique T-shirt,https://www.myntra.com/18191952,1
Veirdo Marvel Captain America Printed Original Half Sleeves T-Shirt for Men Navy,T_MAV3020_NB_L,https://www.amazon.in/dp/B09XY28JWD,Veirdo Printed Men Round Neck Navy Blue T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGEMR7EDZ2GWXR,VEIRDO Men Navy Blue Captain America High Neck Extended Sleeves T-shirt,https://www.myntra.com/18188650,1
Veirdo Marvel Thor Forever Printed Original Half Sleeves T-Shirt for Men Lilac,T_MTH3033_LLC_L,https://www.amazon.in/dp/B09XY1CPCN,Veirdo Printed Men Round Neck Purple T-Shirt,https://www.flipkart.com/x/p/k?pid=TSHGENUQTQANFZZC,VEIRDO Men Purple Typography Printed T-shirt,https://www.myntra.com/18191290,1
JUNEBERRY Full Sleeve Crop Top for Girls (XXX-Large) Red,W_GL_DALI_RED_3XL,https://www.amazon.in/dp/B09Q9693N9,JUNEBERRY Full Sleeve Printed Women Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSG9XVGPWZU9ANA,JUNEBERRY Women Red Bella Ciao Printed Sweatshirt,https://www.myntra.com/15442886,1
JUNEBERRY Full Sleeve Crop Top for Girls (XXX-Large) Navy,W_GL_RUN_NAVY_3XL,https://www.amazon.in/dp/B09QCLJD9S,JUNEBERRY Full Sleeve Printed Women Sweatshirt,https://www.flipkart.com/x/p/k?pid=SWSG9XVGVQQDXGHB,JUNEBERRY Women Navy Blue Printed Crop Sweatshirt,https://www.myntra.com/15442866,1
