flipk_pdp_lst,flipk_given_lst,title_1,title_2
https://www.flipkart.com/x/p/k?pid=SHTGJQAFSFCHZVH9,https://www.flipkart.com/x/p/k?pid=SHTGJQAFZ7VWTGAX,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAFAWNVUNUR,https://www.flipkart.com/x/p/k?pid=SHTGJQAFGJF6PH8W,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA2SFRZS8SQ,https://www.flipkart.com/x/p/k?pid=SHTGJQA2HHG68YY3,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA23GSNGEHY,https://www.flipkart.com/x/p/k?pid=SHTGJQA2PD6JHHS7,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6GWZDTDZ8,https://www.flipkart.com/x/p/k?pid=SHTGJQA6AJP3PHCH,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQAARRC6BNGR,https://www.flipkart.com/x/p/k?pid=SHTGJQAAZZ8HZKQB,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=SHTGJQA6Y5MJNQH4,https://www.flipkart.com/x/p/k?pid=SHTGJQA63JVV9YAX,Men Regular Fit Checkered Spread Collar Casual Shirt,Men Regular Fit Checkered Spread Collar Casual Shirt
https://www.flipkart.com/x/p/k?pid=TSHGG4FJGF2KWZMH,https://www.flipkart.com/x/p/k?pid=JCKGKRNSDSBJUH6G,Levi'sMen's Crew Neck T-Shirt Men Graphic Print Crew Neck Blue T-Shirt,Men Printed Casual Jacket
https://www.flipkart.com/x/p/k?pid=TSHGG4FJGF2KWZMH,https://www.flipkart.com/x/p/k?pid=JCKGKRQSNKDJ2WBW,Levi'sMen's Crew Neck T-Shirt Men Graphic Print Crew Neck Blue T-Shirt,Men Printed Casual Jacket
https://www.flipkart.com/x/p/k?pid=TSHGG4FJGF2KWZMH,https://www.flipkart.com/x/p/k?pid=JCKGKRQ8KCJWXX9H,Levi'sMen's Crew Neck T-Shirt Men Graphic Print Crew Neck Blue T-Shirt,Men Printed Casual Jacket
